qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7765,1000,843,5,28,8,78429,92590,98128
7766,1000,825,210,20,9,78314,92968,99858
7767,1000,154,210,8,10,77901,93650,100593
7768,1000,4,1,14,11,78208,95214,
7769,1000,817,9,3,12,78540,96442,
7770,1000,807,4,27,13,77905,96506,
7771,1000,828,15,9,14,78641,97075,
7772,1000,840,3,18,15,78560,,
7773,1000,838,1,2,16,78782,,
7774,1000,844,15,16,17,78817,,
7775,1000,839,10,31,18,79142,,
7776,1000,815,10,11,19,79200,,
7777,1000,845,3,35,20,79301,,
7778,1000,1,131,44,1,77419,91242,95658
7779,1000,822,131,77,2,77123,92081,95918
7780,1001,1,131,44,1,102977,101553,118179
7781,1001,20,6,5,2,103035,101501,118905
7782,1001,839,10,31,3,104003,103302,121851
7783,1001,815,10,11,4,104004,103014,121894
7784,1001,154,210,8,5,103597,103042,122122
7785,1001,8,6,7,6,102585,101533,122671
7786,1001,830,9,33,7,103199,102554,122769
7787,1001,817,9,3,8,103604,103126,122939
7788,1001,825,210,20,9,103834,103320,124933
7789,1001,822,131,77,10,102805,102191,
7790,1001,842,5,10,11,104221,103844,
7791,1001,843,5,28,12,104153,103865,
7792,1001,844,15,16,13,103654,104062,
7793,1001,828,15,9,14,103846,104301,
7794,1001,807,4,27,15,104145,,
7795,1001,832,4,55,16,104489,,
7796,1001,4,1,14,17,104917,,
7797,1001,845,3,35,18,104998,,
7798,1001,840,3,18,19,105134,,
7799,1001,838,1,2,20,105307,,
7800,1002,8,6,7,1,80722,79846,79119
7801,1002,20,6,5,2,80542,79629,79280
7802,1002,1,131,44,3,80810,79798,79294
7803,1002,822,131,77,4,81381,80427,79656
7804,1002,830,9,33,5,81381,80333,80615
7805,1002,154,210,8,6,81887,81239,80936
7806,1002,832,4,55,7,81732,81552,81041
7807,1002,839,10,31,8,81570,81315,81099
7808,1002,842,5,10,9,81834,81667,81350
7809,1002,840,3,18,10,81838,81494,81627
